Dob,Sex,Maturity,Title,Weight,Id,Mmid,Price
Mar 2020,F,baby/juvenile,Hypo Labyrinth 50% Het Sharp 50% Het Anery,-,#A180-10F,340026,$3250
Mar 2020,M,baby/juvenile,Hypo Labyrinth 50% Het Sharp 50% Het Anery,-,#A180-9M,340029,$3500
Mar 2020,F,baby/juvenile,Img 50% Het Sharp 50% Het Anery,-,#A180-6F,340023,$1200
Apr 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A182-14M,346929,$1200
Apr 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A182-9M,347404,$1200
Apr 2020,F,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-15F,347395,$1650
Apr 2020,F,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-4F,346933,$1500
Apr 2020,M,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-3M,346930,$2000
Apr 2020,M,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-16M,347405,$2200
2020,M,baby/juvenile,Img Possible Jungle 66% Het Vpi T+,-,#A182-8M,346932,$1350
Mar 2020,M,baby/juvenile,Labyrinth 50% Het Sharp 50% Het Anery,-,#A180-13M,340031,$3500
Mar 2020,F,baby/juvenile,Possible Super Sunglow,-,#A181-7F,347407,$500
Mar 2020,M,baby/juvenile,Possible Super Sunglow,-,#A181-12M,340014,$475
Mar 2020,M,baby/juvenile,Possible Super Sunglow,-,#A181-5M,347406,$450
Mar 2020,M,baby/juvenile,Possible Super Sunglow Jungle,-,#A181-18M,339999,$550
Mar 2020,M,baby/juvenile,Possible Super Sunglow Jungle,-,#A181-17M,340005,$550
Mar 2020,M,baby/juvenile,Sunglow,-,#A181-3M,353171,$475
May 2019,M,baby/juvenile,Img Sharp Albino,-,#A160-40M,325618,$1800
May 2019,M,baby/juvenile,Img Sharp Albino Jungle 50% Het Anery,-,#A170-2M,325619,$2300
May 2019,F,baby/juvenile,Normal Het Kahl Albino Het Sterling,-,#A168-32F,352790,$750
May 2019,F,baby/juvenile,Normal Het Sterling Het Albino,-,#A168-24F,352789,$750
May 2019,M,baby/juvenile,Normal Het Sterling Het Kahl Albino,-,#A168-15M,352792,$750
Apr 2019,M,baby/juvenile,Sunglow,-,#A163-8M,352787,$550
May 2019,M,baby/juvenile,Vpi T+,-,#A167-6M,352784,$450
May 2019,M,baby/juvenile,Vpi T+,-,#A169-15M,249806,$450
May 2019,M,baby/juvenile,Vpi T+ Sunglow,-,#A167-8MM,328452,$550
Apr 2019,M,baby/juvenile,Vpi T+ Sunglow 66% Het Anery,-,#A164-5M,353173,$750
Jun 2018,M,subadult,Vpi T+ Motley,-,#A159-3M,352785,$900
May 2018,M,baby/juvenile,Vpi T+ Sunglow Jungle Red Panther,-,#RPJGM1,340660,$1750
May 2018,M,baby/juvenile,Vpi T+ Sunglow (Rp Line),-,#A154-8M,187950,$875
2017,M,subadult,Sharp Sunglow Jungle,-,#SJGM1,340662,$1250
