Dob,Sex,Maturity,Title,Weight,Id,Mmid,Price
May 2020,F,baby/juvenile,Ghost 100% Het Vpi T+,-,#A183-6F,360696,$900
May 2020,M,baby/juvenile,Ghost 100% Het Vpi T+,-,#A183-3M,360193,$850
Mar 2020,F,baby/juvenile,Img 50% Het Sharp 50% Het Anery,-,#A180-6F,340023,$1200
May 2020,M,baby/juvenile,Img 66% Het Sharp Albino 50% Het Anery,-,#A187-1M,360705,$1000
Apr 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A182-9M,347404,$1000
Apr 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A182-14M,346929,$1000
Apr 2020,F,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-15F,347395,$1450
Apr 2020,M,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-16M,347405,$2200
Apr 2020,F,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-4F,346933,$1350
Apr 2020,M,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-3M,346930,$1800
2020,M,baby/juvenile,Img Possible Jungle 66% Het Vpi T+,-,#A182-8M,346932,$1200
Mar 2020,M,baby/juvenile,Labyrinth 50% Het Sharp 50% Het Anery,-,#A180-13M,340031,$3500
Mar 2020,M,baby/juvenile,Possible Super Sunglow,-,#A181-12M,340014,$475
Mar 2020,M,baby/juvenile,Possible Super Sunglow,-,#A181-8M,360700,$475
May 2020,M,baby/juvenile,Possible Super Sunglow,-,#A181-20M,360701,$450
Mar 2020,F,baby/juvenile,Possible Super Sunglow,-,#A181-7F,347407,$500
Mar 2020,M,baby/juvenile,Possible Super Sunglow Jungle,-,#A181-18M,339999,$550
Mar 2020,M,baby/juvenile,Possible Super Sunglow Jungle,-,#A181-17M,340005,$550
May 2020,M,baby/juvenile,Vpi T+ 66% Het Anery,-,#A183-13M,360698,$450
May 2020,F,baby/juvenile,Vpi T+ 66% Het Anery,-,#A184-14F,360697,$550
May 2020,F,baby/juvenile,Vpi T+ Snowglow,-,#A183-1M,360699,$3000
May 2020,M,baby/juvenile,Vpi T+ Sunglow 66% Het Anery,-,#A183-9M,360192,$600
May 2019,M,baby/juvenile,Img Sharp Albino,-,#A160-40M,325618,$1800
May 2019,M,baby/juvenile,Img Sharp Albino Jungle 50% Het Anery,-,#A170-2M,325619,$2300
May 2019,F,baby/juvenile,Normal Het Kahl Albino Het Sterling,-,#A168-32F,352790,$750
May 2019,M,baby/juvenile,Normal Het Sterling Het Kahl Albino,-,#A168-15M,352792,$750
Apr 2019,M,baby/juvenile,Sunglow,-,#A163-8M,352787,$550
May 2019,M,baby/juvenile,Vpi T+,-,#A167-6M,352784,$450
May 2019,M,baby/juvenile,Vpi T+,-,#A169-15M,249806,$450
Jun 2018,M,subadult,Vpi T+ Motley,-,#A159-3M,352785,$800
May 2018,M,baby/juvenile,Vpi T+ Sunglow Jungle Red Panther,-,#RPJGM1,340660,$1450
