Dob,Sex,Maturity,Title,Weight,Id,Mmid,Price
May 2020,M,baby/juvenile,Ghost 100% Het Vpi T+,-,#A183-3M,360193,$700
May 2020,F,baby/juvenile,Img 66% Het Sharp Albino 50% Het Anery,-,#A187-12F,487037,$850
May 2020,F,baby/juvenile,Img 66% Het Vpi T+,-,#A184-15F,486871,$850
Jul 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A195-12M,486879,$850
Jul 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A194-14M,486878,$850
Apr 2020,M,baby/juvenile,Img 66% Het Vpi T+,-,#A182-14M,346929,$850
May 2020,F,baby/juvenile,Img Jungle 66% Het Sharp 50% Anery,-,#A187-9F,367200,$1250
May 2020,F,baby/juvenile,Img Jungle 66% Het Sharp Albino 50% Het Anery,-,#A187-11F,367216,$1000
Apr 2020,M,baby/juvenile,Img Jungle 66% Het Vpi T+,-,#A182-3M,346930,$1350
Jul 2020,F,baby/juvenile,Img Motley 50% Het Anery,-,#A194-10F,486861,$1250
Jul 2020,F,baby/juvenile,Img Motley 50% Het Anery,-,#A194-11F,486863,$1250
May 2020,M,baby/juvenile,Img Possible Jungle 66% Het Vpi T,-,#A184-17M,502409,$950
May 2020,F,baby/juvenile,Img Sharp Albino Jungle,-,#A187-15F,367206,$2000
May 2020,M,baby/juvenile,Img Sharp Sunglow Jungle,-,#A187-3M,367225,$3000
Jul 2020,F,baby/juvenile,Img Vpi T+,-,#A195-7F,475075,$3250
Jun 2020,F,baby/juvenile,Lipstick Albino Jungle,-,#A190-10F,510749,$400
Jun 2020,F,baby/juvenile,Lipstick Albino Jungle,-,#A190-7F,510742,$450
Jun 2020,F,baby/juvenile,Lipstick Albino Possible Jungle,-,#A190-8F,510746,$350
Mar 2020,M,baby/juvenile,Lipstick Possible Super Sunglow Jungle,-,#A181-13M,496816,$550
Mar 2020,M,baby/juvenile,Lipstick Possible Super Sunglow Jungle,-,#A181-10M,496817,$500
Jun 2020,M,baby/juvenile,Lipstick Possible Super Sunglow Possible Jungle,-,#A188-10M,496820,$450
Aug 2020,M,baby/juvenile,Lipstick Sunglow,-,#A1955-2M,492082,$465
May 2020,M,baby/juvenile,Lipstick Sunglow Jungle,-,#A185-4M,449772,$600
May 2020,M,baby/juvenile,Lipstick Sunglow Jungle,-,#A185-2M,449769,$600
Mar 2020,M,baby/juvenile,Possible Super Sunglow Jungle,-,#A181-17M,340005,$550
Jun 2020,F,baby/juvenile,Vpi T+ Motley,-,#A189-2F,369011,$800
Jun 2020,F,baby/juvenile,Vpi T+ Sunglow,-,#A191-5F,506775,$650
Jun 2020,M,baby/juvenile,Vpi T+ Sunglow,-,#A191-8M,506774,$650
Jun 2018,M,subadult,Vpi T+ Motley,-,#A159-3M,352785,$800
